currency, netAmt, year, currencyLongForm
aud, 19280794.12, 2023, Australian Dollar
cad, 8561081.04, 2023, Canadian Dollar
chf, 643542.46, 2023, Swiss Franc
eur, 348149271.1, 2023, Euro
gbp, 44447765.23, 2023, British Pound
inr, 55808323.47, 2023, Indian Rupee
jpy, 9750000, 2023, Japanese Yen
myr, -38907.35, 2023, Malaysian Ringgit
nzd, 432510.16, 2023, New Zealand Dollar
sek, 17052987.15, 2023, Swedish Krona
sgd, 1294582.12, 2023, 	Singapore Dollar
usd, 672358855.4, 2023, US Dollar
aud, 24904777.29, 2022, Australian Dollar
cad, 9686482.39, 2022, Canadian Dollar
chf, 787166.77, 2022, Swiss Franc
eur, 315858994.8, 2022, Euro
gbp, 46470577.9, 2022, British Pound
inr, 76884548.65, 2022, Indian Rupee
jpy, -13766384, 2022, Japanese Yen
myr, 20224.35, 2022, Malaysian Ringgit
nzd, 417008.33, 2022, New Zealand Dollar
sek, 16198576.91, 2022, Swedish Krona
sgd, 1814780.21, 2022, Singapore Dollar
usd, 594139634.7, 2022, US Dollar
